COUNTY,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
Abbeville,79.41333333,77.60666667,33.12833333,64.54833333,73.05166667
Acadia,79.79833333,76.74166667,31.37666667,70.23,73.97333333
Accomack,65.4725,64.54375,59.9075,65.0025,69.8125
Ada,33.64152542,36.65135593,34.08898305,44.00457627,32.95542373
Adair,69.29954545,57.12045455,26.17136364,52.68318182,55.66
Adams,51.97189189,53.5447027,49.88140541,47.69151351,50.68308108
Addison,32.05,48.845,12.769,45.97,30.352
Aiken,60.23,61.0271875,44.0646875,49.203125,56.41
Aitkin,52.06666667,64.00833333,10.62,49.59666667,44.82166667
Alachua,54.01410714,32.58571429,49.4625,55.91142857,47.04892857
Alamance,55.74,63.96194444,50.81916667,56.40194444,58.27944444
Alameda,37.32575,26.08733333,78.80988889,59.40263889,48.39108333
Alamosa,70.1925,68.0325,71.4925,71.3,79.1775
Albany,38.52388235,32.80670588,43.45058824,48.65258824,37.37952941
Albemarle,31.29727273,29.40590909,43.87,46.51636364,32.66318182
Alcona,66.912,58.938,8.742,45.694,47.628
Alcorn,74.49714286,80.73142857,28.78571429,48.65285714,63.84714286
Aleutians East,48.08,9.91,92.41,95.73,70.48
Aleutians West,30.715,24.78,81.64,92.01,61.745
Alexander,71.90272727,70.76090909,26.62727273,53.80454545,62.21727273
Alexandria City,20.16131579,13.61263158,59.78026316,49.15526316,27.56289474
Alfalfa,39.09,67.37666667,32.42,56.65333333,47.73666667
Alger,59.99666667,48.50666667,26.81,71.47666667,57.12666667
Allamakee,38.126,42.16,20.2,69.256,41.634
Allegan,38.71958333,44.86416667,23.88291667,50.405,37.74375
Allegany,61.62657143,63.65416667,16.43666667,56.84611111,54.33428571
Alleghany,62.99555556,66.88111111,18.47444444,53.54444444,53.91777778
Allegheny,39.53276923,45.63629442,30.51741772,40.43522843,36.01782051
Allen,54.90034722,62.11937931,34.48206897,42.39082759,49.28201389
Allendale,82.7,63.5,53.05666667,76.44,79.13
Alpena,55.72333333,73.38111111,12.34555556,52.70111111,50.28777778
Alpine,73.18,77.63,46.77,90.54,81.97
Amador,49.79888889,56.79444444,37.39222222,56.69444444,51.41777778
Amelia,48.915,56.795,39.655,67.1,56.06
Amherst,63.09777778,53.57444444,30.38555556,42.89666667,51.11555556
Amite,81.77333333,81.28,34.88333333,56.76,73.42
Anchorage,33.35509091,36.05436364,57.37745455,62.48381818,46.43145455
Anderson,59.28202703,69.36689189,31.55310811,51.8422973,54.91513514
Andrew,39.71,61.5425,4,39.67,31.3625
Andrews,51.38,29.705,80.505,53.4175,55.2675
Androscoggin,48.97785714,69.67035714,23.9825,58.69642857,51.79535714
Angelina,72.26176471,84.13705882,58.63411765,66.45882353,77.46
Anne Arundel,27.00656863,35.19598039,41.54048077,31.21588235,26.96823529
Anoka,25.82313253,39.09951807,37.80650602,38.83927711,30.3646988
Anson,80.61833333,67.59,51.73,64.44333333,75.79833333
Antelope,37.03,70.17,20.09666667,33.80666667,35.04333333
Antrim,43.35142857,52.06571429,15.98,46.79285714,37.71571429
Apache,86.7575,70.2325,80.420625,82.595,89.10125
Appanoose,54.106,74.002,9.454,56.706,49.84
Appling,78.226,81.696,48.822,70.458,78.302
Appomattox,53.66333333,74.02666667,28.79333333,42.59333333,50.02333333
Aransas,55.258,68.812,46.608,70.11,63.708
Arapahoe,31.24095238,31.65204082,56.50612245,35.66734694,32.92857143
Archer,35.80666667,60.83666667,23.28,40.49666667,36.26333333
Archuleta,41.885,50.125,37.345,47.7975,42.82
Arenac,74.602,73.556,13.802,59.32,62.406
Arkansas,66.11875,78.73625,22.88,54.86625,60.9475
Arlington,14.32192982,10.31152542,57.39694915,49.60169492,21.34982456
Armstrong,54.5075,68.4945,10.3085,52.1345,47.291
Aroostook,61.39625,74.54333333,17.05291667,64.72333333,59.3225
Arthur,28.76,56.28,4.39,4.25,8.75
Ascension,50.41785714,60.34357143,44.70285714,44.97214286,49.14642857
Ashe,63.60833333,66.73,19.26833333,57.29333333,55.82333333
Ashland,52.56888889,66.16833333,15.935,58.43111111,49.56722222
Ashley,72.70285714,81.54142857,42.56285714,48.72714286,68.30428571
Ashtabula,69.6348,71.448,20.6608,60.2672,61.4932
Asotin,56.73666667,79.48,17.56166667,62.49,57.08833333
Assumption,74.26666667,83.76666667,42.02333333,51.185,69.38333333
Atascosa,75.53125,64.34875,77.98625,70.79125,80.8075
Atchison,45.88,68.90166667,16.43833333,59.415,47.45166667
Athens,66.556,43.70466667,19.128,69.14533333,54.302
Atkinson,88.80333333,82.16666667,76.18333333,68.84,88.56
Atlantic,55.86304348,57.35898551,60.51362319,48.68913043,56.21753623
Atoka,73.4475,77,34.98,65.3425,71.745
Attala,80.005,90.66166667,39.19333333,60.31166667,77.48166667
Audrain,67.05571429,69.84142857,19.43714286,52.12571429,55.87142857
Audubon,36.17,59.33666667,7.593333333,27.57666667,25.32
Auglaize,33.28272727,54.59,9.470909091,40.62,30.18727273
Augusta,42.58076923,43.35076923,16.99692308,46.53,34.44307692
Aurora,30.59,84.52,44.01,59.85,52.63
Austin,50.21666667,62.11166667,67.22,67.85166667,64.77166667
Autauga,52.51916667,67.29666667,35.23,47.1325,51.0525
Avery,58.44,54.14,26.17,69.836,57.254
Avoyelles,77.24444444,81.69888889,33.52222222,72.41666667,75.45111111
Baca,55.785,80.825,46.32,73.315,68.75
Bacon,75.13333333,87.76333333,47.95666667,66.19666667,76.04666667
Bailey,61.78,82.37,87.95,87.54,86
Baker,63.81666667,73.28333333,27.99333333,63.3175,62.33916667
Baldwin,51.44225,54.32225,30.64725,56.6865,49.0035
Ballard,63.32,81.09333333,6.41,63.08333333,57.32666667
Baltimore,36.10985782,43.41436019,50.93180095,34.84222749,36.79113744
Baltimore City,66.82116162,57.37555556,59.16356784,52.06030303,62.77267677
Bamberg,76.5325,82.78,37.1425,78.275,78.505
Bandera,50.92,71.846,38.95,44.49,52.4
Banks,71.04,68.1325,37.675,38.825,59.41
Banner,15.15,60.61,21.54,6.84,10.98
Bannock,57.64681818,63.38227273,26.96590909,50.87181818,52.11227273
Baraga,66.6,67.84,26.015,84.925,70.91
Barber,39.135,83.855,25.13,68.015,54.36
Barbour,84.77538462,79.19538462,47.52230769,60.22923077,78.49461538
Barnes,31.1325,42.6625,5.5775,50.9025,28.685
Barnstable,23.64660714,38.44535714,23.01660714,30.23732143,21.67607143
Barnwell,80.012,84.474,53.716,78.988,83.16
Barren,73.508,75.235,13.954,53.662,61.012
Barron,42.48,66.457,14.254,61.457,45.665
Barrow,61.28722222,59.38944444,51.31055556,31.56277778,50.46888889
Barry,50.82388889,61.48,20.66555556,44.34666667,43.86833333
Bartholomew,44.966,55.24466667,37.39466667,50.88266667,46.364
Barton,53.24,79.05636364,29.81909091,53.52181818,55.26727273
Bartow,61.948,61.38933333,40.03,49.60733333,55.99933333
Bastrop,58.604,57.693,66.165,58.667,64.422
Bates,54.7525,83.8525,9.5,60.1575,54.9525
Bath,77.9475,74.01,11.675,59.3175,64.7975
Baxter,52.90555556,70.24555556,8.823333333,52.94222222,47.05222222
Bay,54.85304348,66.05710145,29.55811594,52.15333333,52.12826087
Bayfield,34.676,60.284,18.912,51.564,37.506
Baylor,43.86,79.75,12.89,36.95,39.98
Beadle,47.22833333,52.33333333,46.67166667,57.64166667,51.65833333
Bear Lake,42.45,73.705,12.81,47.54,40.935
Beaufort,41.88490196,47.84254902,41.38803922,44.40627451,41.98784314
Beauregard,71.44285714,84.01714286,28.66857143,54.96285714,65.44
Beaver,43.52232143,58.39375,20.27732143,45.35678571,40.255
Beaverhead,37.92666667,42.21,27.74,52.64,38.59666667
Becker,34.722,68.338,18.401,51.416,40.124
Beckham,57.5625,63.975,37.57,75.1175,64.395
Bedford,49.09027027,58.59297297,19.79675676,46.38243243,42.76486486
Bee,78.93857143,70.37,72.31571429,77.48428571,82.11714286
Belknap,30.93933333,53.182,9.388666667,44.45866667,29.2
Bell,64.50521127,68.26577465,56.37277778,52.76605634,63.50352113
Belmont,55.273,63.3035,8.1735,45.2275,43.2095
Beltrami,55.997,64.642,24.634,72.724,58.715
Ben Hill,75.306,70.038,39.404,52.512,66.028
Benewah,70.405,90.245,23.32,81.525,76.11
Bennett,84.635,83.27,55.93,59.88,80.955
Bennington,36.37166667,70.095,9.140833333,40.8675,34.2075
Benson,60.31,71.93,36.2325,48.35,55.4575
Bent,82.48,72.51,61.32,88.23,86.57
Benton,44.17111111,49.35081481,39.75637037,50.25681481,44.99118519
Benzie,44.308,60.236,10.942,48.194,38.516
Bergen,26.06206704,23.65212291,68.53391061,41.38301676,33.81698324
Berkeley,53.32741379,59.21241379,42.02896552,41.25913793,49.2512069
Berks,53.40944444,60.13322222,48.661,38.37444444,48.70277778
Berkshire,40.69769231,54.55974359,25.30487179,44.01717949,38.38615385
Bernalillo,51.80947712,53.55934641,65.43941176,45.98457516,53.82065359
Berrien,55.30148148,63.55777778,35.79796296,51.525,53.28462963
Bertie,87.71,77.32,45.275,69.25,81.09
Bethel,82.04,66.99333333,75.88,94.46,91.80666667
Bexar,57.64088398,57.85955923,78.74575758,48.83798898,61.66273481
Bibb,72.28875,70.79166667,49.14520833,56.8725,68.97458333
Bienville,71.082,86.454,40.188,64.726,73.268
Big Horn,72.11375,67.45875,47.5025,65.2925,71.0425
Big Stone,32.97,67.03666667,9.02,69.93666667,41.95
Billings,30.18,26.5,6.92,54.35,24.56
Bingham,56.69,77.38125,51.355,44.5625,58.98375
Black Hawk,50.21342105,53.30842105,38.41315789,47.54710526,45.85552632
Blackford,59.225,79.07,7.295,58.6725,54.565
Bladen,81.02333333,83.72333333,55.48666667,78.61333333,84.615
Blaine,50.10785714,68.22285714,40.25357143,58.64,56.06785714
Blair,52.65529412,68.40117647,10.78147059,57.82529412,48.45941176
Blanco,41.885,63.02,48.66,69.275,56.785
Bland,52.97,54.835,6.695,79.95,52.2
Bleckley,77.8,68.42,39.45666667,68.51666667,70.83333333
Bledsoe,80.42,53.71,32.85333333,68.38,69.73333333
Blount,53.03885714,55.42972973,23.90297297,41.65888889,44.63857143
Blue Earth,39.095,36.403125,25.28125,63.210625,39.3575
Boise,48.01,51.25,7.61,57.1,40.2
Bolivar,89.15875,90.545,47.37125,72.99875,85.99
Bollinger,70.74333333,75.75,8.973333333,59.45,59.42666667
Bon Homme,43.16,42.35,24.115,74.475,47.14
Bond,46.5025,46.505,13.4075,45.7625,37.4825
Bonner,50.17555556,63.97888889,11.91111111,51.99666667,44.02222222
Bonneville,42.63285714,65.83047619,37.21952381,50.09285714,47.19095238
